behaveDiff,payDate,race2,racethn4,educ3,educ4,age3,kids,orientation,weight
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.656490054
No,Always,Non-white,Other,Some college,Some college,35 - 64,Has children,Straight,0.630579857
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.059756492
NA,Always,Non-white,Hispanic,High school or less,High school or less,35 - 64,Has children,Straight,4.587662255
No,Rarely,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.710284574
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.057221751
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.574169258
NA,Never,Non-white,Other,College or more,Post graduate degree,65 and up,Has children,Other,0.097685241
NA,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.065375236
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059076967
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.058890257
Yes,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.512408421
Yes,Often,White,White,Some college,Some college,35 - 64,No children,Straight,0.392153054
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.663356077
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.069031279
No,Often,White,White,College or more,College or more,35 - 64,No children,Straight,0.528111461
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.655175216
No,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.999929683
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.06942877
NA,Never,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.561797238
Yes,Always,White,White,Some college,Some college,18 - 34,Has children,Straight,2.049705766
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.49093909
No,Sometimes,Non-white,Black,High school or less,High school or less,18 - 34,No children,Straight,8.643673599
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.504498341
No,Always,Non-white,Other,College or more,Post graduate degree,35 - 64,Has children,Straight,0.109284889
NA,Often,White,White,Some college,Some college,65 and up,Has children,Gay/Bisexual,0.635442753
No,Always,Non-white,Black,High school or less,High school or less,35 - 64,Has children,Straight,2.400470207
NA,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.676830156
NA,Never,White,White,Some college,Some college,65 and up,Has children,Straight,0.825123786
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076678628
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.611347689
No,Always,White,White,Some college,Some college,18 - 34,No children,Straight,2.517910205
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.061657168
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.05465732
No,Never,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515567485
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.879540673
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.061657168
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.825123786
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.986332063
NA,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.593337833
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.373985307
NA,Often,White,White,College or more,College or more,35 - 64,No children,Other,0.512693291
No,Sometimes,White,White,College or more,Post graduate degree,18 - 34,Has children,Straight,0.128261059
Yes,Sometimes,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.668210024
Yes,Always,Non-white,Other,Some college,Some college,35 - 64,Has children,Straight,0.775274627
Yes,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.545344405
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059076967
No,Sometimes,White,White,College or more,Post graduate degree,18 - 34,Has children,Straight,0.117194739
NA,Never,Non-white,Black,High school or less,High school or less,18 - 34,No children,Straight,6.218213262
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.467359086
NA,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,0.780180584
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.058149837
NA,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.716907351
No,Always,Non-white,Other,College or more,Post graduate degree,35 - 64,Has children,Straight,0.109481978
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.05465732
Yes,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.56064317
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.615179712
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.792408405
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.079920171
No,Always,Non-white,Other,College or more,College or more,18 - 34,Has children,Straight,2.188326309
Yes,Often,White,White,High school or less,High school or less,18 - 34,No children,Straight,8.643673599
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.529114239
No,Never,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.07252899
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.484712546
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.635442753
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.545344405
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.392153054
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.056149672
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Gay/Bisexual,2.231533039
NA,Always,Non-white,Other,College or more,College or more,65 and up,Has children,Straight,0.525162542
NA,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.481730211
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.56064317
Yes,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.635442753
No,Always,Non-white,Other,College or more,College or more,35 - 64,No children,Straight,1.519871726
NA,Sometimes,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.065375236
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
Yes,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.06942877
NA,Rarely,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
NA,Always,White,White,High school or less,High school or less,65 and up,No children,Straight,1.920637267
NA,Always,Non-white,Other,Some college,Some college,35 - 64,Has children,Straight,0.593540667
No,Sometimes,Non-white,Black,Some college,Some college,35 - 64,Has children,Straight,3.785630516
NA,Always,White,White,High school or less,High school or less,35 - 64,No children,Straight,1.999202175
No,No answer,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.056642551
Yes,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064265518
NA,Always,White,White,High school or less,High school or less,18 - 34,No children,Gay/Bisexual,6.339648764
NA,Often,Non-white,Other,College or more,Post graduate degree,65 and up,Has children,Straight,0.08551979
NA,Often,Non-white,Black,College or more,College or more,65 and up,Has children,Straight,0.703993532
NA,Always,White,White,College or more,College or more,18 - 34,No children,Straight,1.780907618
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.929476216
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064138043
NA,Sometimes,White,White,College or more,College or more,65 and up,No children,Gay/Bisexual,0.496283147
Yes,Often,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.621071965
Yes,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.058913986
NA,Sometimes,White,White,Some college,Some college,35 - 64,No children,Straight,0.734273837
NA,Never,Non-white,Hispanic,College or more,College or more,35 - 64,Has children,Gay/Bisexual,1.165107764
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,2.478404934
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Other,0.059756492
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.0749326
Yes,Always,White,White,College or more,College or more,35 - 64,No children,Straight,1.069493349
Yes,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,1.469742569
NA,Rarely,Non-white,Black,Some college,Some college,35 - 64,No children,Straight,1.019700923
No,Often,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.565816475
Yes,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.37986596500000003
Yes,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066058959
NA,Sometimes,White,White,Some college,Some college,35 - 64,Has children,Straight,0.617906017
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
NA,Sometimes,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.96130902
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484712546
NA,Always,Non-white,Hispanic,High school or less,High school or less,18 - 34,No children,Straight,8.643673599
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.070891714
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.639636832
No,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064265518
Yes,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515746057
NA,Often,White,White,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.066417872
No,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,0.780180584
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.058104994
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,1.095784972
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,2.532545141
NA,Often,Non-white,Hispanic,Some college,Some college,35 - 64,Has children,Straight,1.806316255
NA,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.06088325
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.870320158
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066180659
No,Always,White,White,College or more,College or more,35 - 64,No children,Straight,1.61109308
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.079920171
NA,Often,White,White,Some college,Some college,35 - 64,No children,Straight,0.596892473
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.656490054
NA,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.615179712
NA,Rarely,Non-white,Other,College or more,Post graduate degree,65 and up,No children,Straight,0.097685241
NA,Often,White,White,Some college,Some college,65 and up,No children,Gay/Bisexual,0.615179712
No,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.068451798
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.788585623
No,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,0.536890969
No,Sometimes,White,White,Some college,Some college,35 - 64,Has children,Straight,0.536890969
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.816495932
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066058959
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.019744451
Yes,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.617906017
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
No,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.068451798
Yes,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.611347689
NA,Often,White,White,College or more,College or more,35 - 64,No children,Straight,0.327986093
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Gay/Bisexual,0.019744451
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.06942877
Yes,Often,Non-white,Other,College or more,Post graduate degree,35 - 64,No children,Straight,0.132485105
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,1.007211666
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.059076967
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
No,Always,Non-white,Hispanic,College or more,College or more,65 and up,Has children,Straight,1.208822879
NA,Sometimes,White,White,College or more,College or more,65 and up,No children,Straight,0.442494849
Yes,Often,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,1.782572784
Yes,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.071511001
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.672943934
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.759769975
NA,Never,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.713051506
Yes,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.512693291
NA,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515567485
NA,Rarely,White,White,High school or less,High school or less,65 and up,No children,Straight,1.561797238
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484712546
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
NA,Always,White,White,High school or less,High school or less,65 and up,No children,Straight,2.364155764
Yes,Always,Non-white,Black,Some college,Some college,35 - 64,Has children,Straight,2.429668139
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.615179712
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.06942877
NA,Always,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.515567485
NA,Always,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.555841934
Yes,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.484712546
Yes,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076678628
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
No,Sometimes,White,White,College or more,College or more,35 - 64,Has children,Straight,0.695610733
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.873498326
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.545344405
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064138043
NA,Never,White,White,Some college,Some college,65 and up,No children,Straight,0.803917862
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.724244582
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.547589263
Yes,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059086641
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066058959
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
NA,Never,White,White,Some college,Some college,65 and up,Has children,Straight,0.56064317
Yes,Never,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.0749326
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.625413768
No,Rarely,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.061599115
NA,Always,White,White,College or more,College or more,18 - 34,No children,Straight,2.723522352
No,Often,White,White,College or more,College or more,65 and up,No children,Straight,0.484545451
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.059756492
NA,Often,White,White,College or more,College or more,65 and up,No children,Straight,0.496283147
NA,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.062596774
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.061657168
NA,Always,White,White,College or more,College or more,65 and up,No children,Straight,0.484545451
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.068451798
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.816118981
NA,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.754621089
NA,Never,White,White,College or more,College or more,65 and up,No children,Straight,0.529114239
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.758425823
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.615179712
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.066058959
No,Never,White,White,College or more,College or more,65 and up,Has children,Straight,0.656490054
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.059756492
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
Yes,No answer,White,White,College or more,College or more,35 - 64,Has children,Straight,0.611347689
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059076967
No,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.060690026
Yes,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.599691957
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,2.573324496
NA,Often,White,White,Some college,Some college,35 - 64,No children,Straight,1.05284753
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057243954
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
Yes,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.808261123
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.061599115
No,Always,Non-white,Other,Some college,Some college,35 - 64,Has children,Straight,0.944229409
NA,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.100822157
Yes,Sometimes,White,White,College or more,College or more,35 - 64,No children,No answer,0.481320343
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.484545451
NA,Never,White,White,College or more,College or more,35 - 64,No children,Straight,0.528111461
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,1.247120116
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.574169258
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Gay/Bisexual,0.05904296
Yes,Often,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.528111461
No,Sometimes,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,1.19031759
NA,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,1.610954523
No,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.504498341
No,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.071296075
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.058149837
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.512408421
NA,Always,White,White,High school or less,High school or less,65 and up,Has children,Straight,1.872817579
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.05465732
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069031279
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.504498341
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.055426752
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.600640079
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.403697402
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515567485
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.056149672
NA,Often,White,White,College or more,College or more,65 and up,No children,Straight,0.496283147
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.512408421
NA,Often,Non-white,Black,Some college,Some college,18 - 34,Has children,Straight,4.204322857
NA,Always,Non-white,Black,High school or less,High school or less,35 - 64,No children,Other,5.284617938
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.574169258
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.574169258
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.574169258
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
NA,No answer,White,White,High school or less,High school or less,65 and up,Has children,Straight,2.573324496
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.060690026
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.483958033
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059756492
Yes,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.452499589
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.617906017
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064265518
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.668210024
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.600640079
Yes,Sometimes,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.066058959
NA,Sometimes,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057243954
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057243954
NA,Sometimes,Non-white,Other,Some college,Some college,65 and up,Has children,Straight,0.702927368
NA,Often,White,White,Some college,Some college,35 - 64,Has children,Gay/Bisexual,0.620528742
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059076967
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064265518
NA,Sometimes,Non-white,Other,College or more,Post graduate degree,65 and up,No children,Straight,0.116047138
Yes,Always,Non-white,Black,College or more,College or more,35 - 64,Has children,Straight,0.710158482
No,Sometimes,White,White,College or more,Post graduate degree,18 - 34,No children,Straight,0.131578647
NA,Often,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.620528742
No,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.0749326
NA,Often,White,White,Some college,Some college,65 and up,Has children,Straight,0.635442753
NA,Never,White,White,College or more,College or more,65 and up,Has children,Straight,0.373985307
No,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.452499589
NA,No answer,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.069983836
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.076678628
NA,Often,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.627590398
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.0749326
No,Always,Non-white,Hispanic,Some college,Some college,65 and up,Has children,Straight,1.735458357
NA,Often,White,White,College or more,College or more,65 and up,No children,Straight,0.484545451
NA,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.056149672
NA,Never,Non-white,Other,College or more,Post graduate degree,65 and up,Has children,Straight,0.121487494
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064138043
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064138043
NA,Always,White,White,Some college,Some college,65 and up,No children,Straight,0.816495932
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.512408421
Yes,Often,White,White,College or more,College or more,35 - 64,No children,Straight,0.512693291
NA,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.784120067
Yes,Often,Non-white,Other,College or more,Post graduate degree,65 and up,Has children,Gay/Bisexual,0.127536503
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,No answer,0.05465732
NA,Always,White,White,Some college,Some college,65 and up,Has children,Straight,0.710284574
Yes,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.075702924
Yes,Often,Non-white,Black,College or more,Post graduate degree,35 - 64,No children,Straight,0.198390334
NA,Sometimes,White,White,Some college,Some college,65 and up,Has children,Straight,0.713051506
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.059076967
NA,Always,White,White,College or more,College or more,65 and up,No children,Straight,0.468530772
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.408203209
Yes,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.515567485
NA,Always,White,White,Some college,Some college,35 - 64,No children,Straight,0.579332702
NA,Often,White,White,Some college,Some college,35 - 64,Has children,Straight,0.639412438
Yes,Sometimes,White,White,College or more,College or more,65 and up,Has children,Straight,0.484712546
No,Always,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.506863295
NA,Always,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064138043
Yes,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.408203209
NA,Often,White,White,College or more,Post graduate degree,35 - 64,Has children,Gay/Bisexual,0.06088325
Yes,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.625413768
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.064265518
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.938684211
NA,Always,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.05465732
NA,Never,White,White,College or more,Post graduate degree,65 and up,No children,Gay/Bisexual,0.069031279
NA,No answer,White,White,Some college,Some college,65 and up,Has children,Straight,0.8371719
NA,Always,Non-white,Other,High school or less,High school or less,35 - 64,Has children,Straight,1.708185405
No,Always,White,White,College or more,Post graduate degree,35 - 64,Has children,Straight,0.060012942
NA,Sometimes,White,White,College or more,College or more,65 and up,Has children,Straight,0.605148042
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.452883113
No,Always,White,White,College or more,College or more,35 - 64,No children,Straight,0.512693291
NA,Always,White,White,High school or less,High school or less,35 - 64,Has children,Straight,1.987492634
No,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,1.007211666
NA,Sometimes,Non-white,Other,College or more,Post graduate degree,35 - 64,No children,Gay/Bisexual,0.132485105
NA,Always,White,White,High school or less,High school or less,65 and up,No children,Straight,1.807573348
Yes,Often,Non-white,Hispanic,College or more,College or more,35 - 64,Has children,Straight,1.282112955
No,Sometimes,Non-white,Other,College or more,Post graduate degree,35 - 64,Has children,Straight,0.107350702
NA,Often,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.060690026
NA,Often,White,White,High school or less,High school or less,35 - 64,Has children,Straight,2.732703191
No,Often,Non-white,Hispanic,College or more,College or more,35 - 64,No children,Gay/Bisexual,1.282112955
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.496283147
NA,Always,White,White,Some college,Some college,35 - 64,Has children,Straight,0.536890969
NA,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.057243954
Yes,Always,Non-white,Other,College or more,College or more,35 - 64,Has children,Straight,0.851680214
NA,Always,White,White,College or more,College or more,65 and up,Has children,Straight,0.512408421
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.318799131
No,Always,Non-white,Other,College or more,Post graduate degree,35 - 64,Has children,Straight,0.118990764
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.470628361
NA,Always,White,White,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.879540673
No,Sometimes,White,White,College or more,Post graduate degree,65 and up,No children,Straight,0.056642551
NA,Sometimes,White,White,College or more,Post graduate degree,35 - 64,No children,Straight,0.058271271
No,Often,White,White,College or more,College or more,35 - 64,Has children,Straight,0.481730211
Yes,Sometimes,White,White,College or more,College or more,35 - 64,No children,Gay/Bisexual,0.695610733
No,Often,White,White,College or more,Post graduate degree,65 and up,Has children,Straight,0.061657168
NA,No answer,White,White,College or more,College or more,65 and up,No children,Straight,0.999179623
No,Always,White,White,College or more,College or more,35 - 64,Has children,Straight,0.545344405
NA,Never,White,White,Some college,Some college,35 - 64,Has children,Straight,0.403697402
NA,Sometimes,White,White,Some college,Some college,35 - 64,Has children,Straight,2.068380144
NA,Often,Non-white,Other,Some college,Some college,35 - 64,No children,Gay/Bisexual,0.752160656
NA,Often,White,White,College or more,College or more,65 and up,Has children,Straight,0.512408421
